,source,target
1094,358,1385
1095,359,934
1096,359,4511
1097,360,5909
1098,360,2778
1099,361,2337
1100,361,1289
1101,362,362
1102,362,4791
1103,362,3564
1104,362,2733
1105,362,573
1106,362,4232
1107,362,7775
1108,363,2318
1109,363,1567
1110,364,2288
1111,365,1780
1112,365,5935
1113,366,4365
1114,366,5536
1115,366,1830
1116,367,7734
1117,367,3734
1118,368,2896
1119,368,5036
1120,368,7579
1121,368,8259
1122,368,2613
1123,368,4956
1124,369,3958
1125,369,975
1126,370,4642
1127,370,1532
1128,371,4155
1129,371,1184
1130,371,1579
1131,371,5964
1132,371,5410
1133,371,1807
1134,372,5729
1135,372,1482
1136,372,2218
1137,373,2916
1138,373,2128
1139,373,4489
1140,373,3599
1141,373,2233
1142,374,3704
1143,374,4611
1144,374,3807
1145,375,1324
1146,375,7323
1147,375,4734
1148,375,1682
1149,375,4730
1150,375,592
1151,375,1668
1152,375,3259
1153,375,4852
1154,375,9038
1155,375,4988
1156,375,3057
1157,376,2858
1158,376,3911
1159,376,6388
1160,377,4114
1161,378,7584
1162,378,6674
1163,379,3790
1164,380,8820
1165,380,4935
1166,381,6387
1167,382,6286
1168,382,9126
1169,382,9042
1170,383,1523
1171,383,2146
1172,383,672
1173,384,1477
1174,384,1834
1175,384,4814
1176,385,3892
1177,385,7091
1178,386,893
1179,386,1553
1180,387,3200
1181,387,8907
1182,387,1757
1183,387,2224
1184,388,7734
1185,388,8247
1186,388,8993
1187,388,5378
1188,388,590
1189,389,3133
1190,390,1155
1191,390,1716
1192,391,1039
1193,391,2556
1194,392,4061
1195,392,4408
1196,392,7301
1197,392,2217
1198,393,8615
1199,393,7856
1200,393,6211
1201,394,4096
1202,394,1996
1203,395,3932
1204,395,6109
1205,396,7179
1206,397,5789
1207,397,6896
1208,397,5310
1209,397,3056
1210,398,5332
1211,398,4413
1212,399,2660
1213,399,9013
1214,399,2771
1215,400,4356
1216,400,8463
1217,401,1293
1218,401,401
1219,402,6511
1220,402,425
1221,403,997
1222,403,4075
1223,404,3224
1224,404,4039
1225,405,8934
1226,405,2864
1227,406,8667
1228,406,5083
1229,406,7024
1230,407,1077
1231,408,9035
1232,408,2077
1233,409,5430
1234,409,751
1235,409,7113
1236,409,2074
1237,409,7082
1238,409,7733
1239,410,4601
1240,410,1984
1241,411,5516
1242,411,4072
1243,412,7415
1244,412,5566
1245,412,3670
1246,412,7751
1247,413,5899
1248,413,6372
1249,414,9017
1250,415,4455
1251,415,8369
1252,416,5559
1253,416,970
1254,417,8481
1255,417,1761
1256,418,8843
1257,418,7322
1258,418,2566
1259,418,1545
1260,418,8480
